,singer,sing,count,production,dist,time,sex,active_type
4911,박효신,Goodbye,4677288,글러브엔터테인먼트,카카오 M,2019.11.17~2019.11.23,남성,솔로
4912,엠씨더맥스 (M.C The Max),넘쳐흘러,4674080,325 이엔씨,카카오 M,2019.11.17~2019.11.23,남성,밴드
4913,방탄소년단,소우주 (Mikrokosmos),4670943,빅히트 엔터테인먼트,Dreamus,2019.11.17~2019.11.23,남성,그룹
4914,태연 (TAEYEON),숨겨진 세상 (Into the Unknown End Credit Ve...,4666552,Walt Disney Records,Universal Music,2019.11.17~2019.11.23,여성,솔로
4915,"먼데이 키즈 (Monday Kiz), 펀치 (Punch)",Another Day,4652418,냠냠엔터테인먼트,카카오 M,2019.11.17~2019.11.23,혼성,프로젝트
4916,Mariah Carey,All I Want For Christmas Is You,4419542,Columbia/Legacy,Sony Music,2019.11.17~2019.11.23,여성,솔로
4917,브라운 아이드 걸스,원더우먼,4369343,"에이팝, 미스틱스토리",카카오 M,2019.11.17~2019.11.23,여성,그룹
4918,Sia,Snowman,4334180,"Monkey Puzzle, Atlantic",Warner Music,2019.11.17~2019.11.23,여성,솔로
4919,"Idina Menzel, Evan Rachel Wood",Show Yourself,4303853,Walt Disney Records,Universal Music,2019.11.17~2019.11.23,여성,프로젝트
4920,MC몽,온도 (Feat. 수란),4269040,밀리언마켓,Dreamus,2019.11.17~2019.11.23,남성,솔로
4921,청하,벌써 12시,4197061,MNH Entertainment,"지니뮤직, Stone Music Entertainment",2019.11.17~2019.11.23,여성,솔로
4922,볼빨간사춘기,"나만, 봄",4156768,쇼파르뮤직,카카오 M,2019.11.17~2019.11.23,여성,솔로
4923,Dua Lipa,Don`t Start Now,4059032,Warner Records,Warner Music,2019.11.17~2019.11.23,여성,솔로
4924,X1 (엑스원),FLASH,4052637,"SWING Entertainment, Stone Music Entertainment","지니뮤직, Stone Music Entertainment",2019.11.17~2019.11.23,남성,그룹
4925,태연 (TAEYEON),Here I Am,4048136,SM Entertainment,Dreamus,2019.11.17~2019.11.23,여성,솔로
4926,닐로 (Nilo),지나오다,4024019,닐로 컴퍼니,퍼플파인 엔터테인먼트,2019.11.17~2019.11.23,남성,솔로
4927,Ariana Grande,"thank u, next",4021793,"Republic Records, a division of UMG Recordings,Inc",Universal Music,2019.11.17~2019.11.23,여성,솔로
4928,Ed Sheeran,Shape of You,4002767,Atlantic Records UK,Warner Music,2019.11.17~2019.11.23,남성,솔로
4929,Maroon 5,Memories,3959684,222 Records/Interscope Records,Universal Music,2019.11.17~2019.11.23,남성,밴드
4930,"Marshmello, Anne-Marie",FRIENDS,3895123,Atlantic Records UK,Warner Music,2019.11.17~2019.11.23,혼성,프로젝트
4931,김나영,그 무렵,3887631,"팬엔터테인먼트, 모스트콘텐츠",NHN벅스,2019.11.17~2019.11.23,여성,솔로
4932,존박,이상한 사람,3787227,"팬엔터테인먼트, 모스트콘텐츠",NHN벅스,2019.11.17~2019.11.23,남성,솔로
4933,Charlie Puth,Attention,3784279,Artist Partners,Warner Music,2019.11.17~2019.11.23,남성,솔로
4934,아이유 (IU),삐삐,3736373,카카오 M,카카오 M,2019.11.17~2019.11.23,여성,솔로
4935,Ariana Grande,Santa Tell Me,3691487,"Republic Records, a division of UMG Recordings,Inc",Universal Music,2019.11.17~2019.11.23,여성,솔로
4936,에일리 (Ailee),첫눈처럼 너에게 가겠다,3635241,"Stone Music Entertainment, 화앤담픽쳐스","지니뮤직, Stone Music Entertainment",2019.11.17~2019.11.23,여성,솔로
4937,헤이즈 (Heize),We don`t talk together (Feat. 기리보이) (P...,3630627,"Stone Music Entertainment, Studio blu",지니뮤직,2019.11.17~2019.11.23,여성,솔로
4938,윤하,비가 내리는 날에는,3615005,C9엔터테인먼트,카카오 M,2019.11.17~2019.11.23,여성,솔로
4939,헤이즈 (Heize),만추 (Feat. Crush),3589920,"Stone Music Entertainment, Studio blu",지니뮤직,2019.11.17~2019.11.23,여성,솔로
4940,노을,너는 어땠을까,3584789,씨제스엔터테인먼트,카카오 M,2019.11.17~2019.11.23,남성,그룹
4941,Troye Sivan,Youth,3583803,Universal Music,Universal Music,2019.11.17~2019.11.23,남성,솔로
4942,Kiana Lede,EX,3554184,"Republic Records, a division of UMG Recordings,Inc",Universal Music,2019.11.17~2019.11.23,여성,솔로
4943,폴킴,초록빛,3533009,뉴런뮤직,카카오 M,2019.11.17~2019.11.23,남성,솔로
4944,"Ed Sheeran, Justin Bieber",I Don`t Care,3503254,Atlantic Records UK,Warner Music,2019.11.17~2019.11.23,남성,프로젝트
4945,"Mena Massoud, Naomi Scott",A Whole New World,3496133,"Disney Enterprises,Inc.",Universal Music,2019.11.17~2019.11.23,혼성,그룹
4946,유산슬,사랑의 재개발,3485375,MBC,YG PLUS,2019.11.17~2019.11.23,남성,솔로
4947,Charlie Puth,One Call Away,3410885,Artist Partners,Warner Music,2019.11.17~2019.11.23,남성,솔로
4948,"Alan Walker, Sabrina Carpenter, Farruko",On My Way,3387251,MER Recordings,Sony Music,2019.11.17~2019.11.23,남성,프로젝트
4949,레드벨벳(Red Velvet),음파음파 (Umpah Umpah),3370664,SM Entertainment,Dreamus,2019.11.17~2019.11.23,여성,그룹
4950,신예영,우리 왜 헤어져야 해,3328880,스튜디오 오드리,카카오 M,2019.11.17~2019.11.23,여성,솔로
4951,양다일,고백,3219146,브랜뉴뮤직,카카오 M,2019.11.17~2019.11.23,남성,솔로
4952,아이유 (IU),미리 메리 크리스마스 (Feat. 천둥),3170452,카카오 M,카카오 M,2019.11.17~2019.11.23,여성,솔로
4953,오마이걸 (OH MY GIRL),게릴라 (Guerilla),3156570,Stone Music Entertainment,지니뮤직,2019.11.17~2019.11.23,여성,그룹
4954,황인욱,취하고 싶다 (Prod. By 전태익),3140179,678 MUSIC,뮤직파운드,2019.11.17~2019.11.23,남성,솔로
4955,볼빨간사춘기,여행,3135557,쇼파르뮤직,카카오 M,2019.11.17~2019.11.23,여성,솔로
4956,바이브 (Vibe),가을 타나 봐,3135196,메이저나인,지니뮤직,2019.11.17~2019.11.23,남성,그룹
4957,벤 (Ben),한숨만,3127044,"뮤직앤뉴, 스튜디오앤뉴",뮤직앤뉴,2019.11.17~2019.11.23,여성,솔로
4958,마마무 (Mamamoo),우린 결국 다시 만날 운명이었지 (Destiny),3085149,RBW,카카오 M,2019.11.17~2019.11.23,여성,그룹
4959,Alan Walker,"All Falls Down (Feat. Noah Cyrus, Digi...",3081086,MER Musikk,Sony Music,2019.11.17~2019.11.23,남성,솔로
4960,Ariana Grande,7 rings,3055689,"Republic Records, a division of UMG Recordings,Inc",Universal Music,2019.11.17~2019.11.23,여성,솔로
4961,BLACKPINK,Kill This Love,3048450,YG Entertainment,YG PLUS,2019.11.17~2019.11.23,여성,그룹
4962,벤 (Ben),180도,3024169,메이저나인,지니뮤직,2019.11.17~2019.11.23,여성,솔로
4963,멜로망스(Melomance),선물,2997000,"민트페이퍼, 광합성",카카오 M,2019.11.17~2019.11.23,남성,듀엣
4964,Pink Sweat$,Honesty,2993758,"Human Re Sources, LLC",Warner Music,2019.11.17~2019.11.23,남성,솔로
4965,벤 (Ben),열애중,2956725,메이저나인,지니뮤직,2019.11.17~2019.11.23,여성,솔로
4966,임한별,이별하러 가는 길,2938006,모스트웍스,카카오 M,2019.11.17~2019.11.23,남성,솔로
4967,마미손,별의노래 (Feat.유진박),2899056,뷰티플노이즈,카카오 M,2019.11.17~2019.11.23,남성,솔로
4968,ASH ISLAND,Empty Head,2853038,앰비션뮤직,"지니뮤직, Stone Music Entertainment",2019.11.17~2019.11.23,남성,솔로
4969,"Khalid, Disclosure",Talk,2849950,"Right Hand Music Group, LLC/RCA Records",Sony Music,2019.11.17~2019.11.23,남성,솔로
4970,Ruel,Painkiller,2821979,Rca Records Label,Sony Music,2019.11.17~2019.11.23,남성,솔로
4971,케이윌 (K.Will),내 생에 아름다운,2814647,"뮤직앤뉴, 스튜디오앤뉴",뮤직앤뉴,2019.11.17~2019.11.23,남성,솔로
4972,TWICE,YES or YES,2814054,JYP Entertainment,Dreamus,2019.11.17~2019.11.23,여성,그룹
4973,MC몽,무인도 (Feat. MOON),2804516,밀리언마켓,Dreamus,2019.11.17~2019.11.23,남성,솔로
4974,장덕철,그날처럼,2800442,리메즈,카카오 M,2019.11.17~2019.11.23,남성,그룹
4975,악동뮤지션 (AKMU),뱃노래,2785999,YG Entertainment,YG PLUS,2019.11.17~2019.11.23,혼성,듀엣
4976,Camila Cabello,Havana (Feat. Young Thug),2769108,Syco Music/Epic,Sony Music,2019.11.17~2019.11.23,여성,솔로
4977,박효신,야생화,2737644,젤리피쉬 엔터테인먼트,"지니뮤직, Stone Music Entertainment",2019.11.17~2019.11.23,남성,솔로
4978,Billie Eilish,Idontwannabeyouanymore,2729486,"Darkroom, Interscope Records",Universal Music,2019.11.17~2019.11.23,여성,솔로
4979,EXO,Love Shot,2723568,SM Entertainment,Dreamus,2019.11.17~2019.11.23,남성,그룹
4980,Justin Bieber,Love Yourself,2700581,"Def Jam Recordings, a division of UMG Recordings, Inc",Universal Music,2019.11.17~2019.11.23,남성,솔로
4981,정승환,너였다면,2691694,Stone Music Entertainment,지니뮤직,2019.11.17~2019.11.23,남성,솔로
4982,"저스디스 (JUSTHIS), Kid Milli, 영비, 스윙스",쓰레기,2680649,인디고뮤직,카카오 M,2019.11.17~2019.11.23,남성,프로젝트
4983,이해리,나만 아픈 일,2678359,Stone Music Entertainment,지니뮤직,2019.11.17~2019.11.23,여성,솔로
4984,Shawn Mendes,If I Can`t Have You,2677829,"Island Records, a division of UMG Recordings, Inc.",Universal Music,2019.11.17~2019.11.23,남성,솔로
4985,임창정,하루도 그대를 사랑하지 않은 적이 없었다,2638190,NH EMG,인터파크,2019.11.17~2019.11.23,남성,솔로
4986,TWICE,Dance The Night Away,2633735,JYP Entertainment,Dreamus,2019.11.17~2019.11.23,여성,그룹
4987,먼데이 키즈 (Monday Kiz),가을 안부,2630722,먼데이키즈 컴퍼니,지니뮤직,2019.11.17~2019.11.23,남성,솔로
4988,"pH-1, Kid Milli, 루피 (Loopy)",Good Day (Feat. 팔로알토) (Prod. 코드 쿤스트),2613139,Stone Music Entertainment,지니뮤직,2019.11.17~2019.11.23,남성,프로젝트
4989,Adele,Someone Like You,2610438,XL Recordings,강앤뮤직,2019.11.17~2019.11.23,여성,솔로
4990,양다일,미안해,2604883,브랜뉴뮤직,카카오 M,2019.11.17~2019.11.23,남성,솔로
4991,악동뮤지션 (AKMU),밤 끝없는 밤,2601609,YG Entertainment,YG PLUS,2019.11.17~2019.11.23,혼성,듀엣
4992,장범준,당신과는 천천히,2591238,버스커버스커,카카오 M,2019.11.17~2019.11.23,남성,솔로
4993,볼빨간사춘기,별 보러 갈래?,2590792,쇼파르뮤직,카카오 M,2019.11.17~2019.11.23,여성,솔로
4994,백예린,그건 아마 우리의 잘못은 아닐 거야,2588609,JYP Entertainment,Dreamus,2019.11.17~2019.11.23,여성,솔로
4995,악동뮤지션 (AKMU),FREEDOM,2553582,YG Entertainment,YG PLUS,2019.11.17~2019.11.23,혼성,듀엣
4996,The Chainsmokers,Closer (Feat. Halsey),2539727,"Disruptor Records, Columbia",Sony Music,2019.11.17~2019.11.23,남성,듀엣
4997,하은 (라코스테남),신용재,2539106,인디안레이블,지니뮤직,2019.11.17~2019.11.23,남성,솔로
4998,우디(Woody),이 노래가 클럽에서 나온다면,2536615,인디안레이블,지니뮤직,2019.11.17~2019.11.23,남성,솔로
4999,염따 (YumDDa),돈 Call Me (Prod. BRLLNT),2531521,"딩고뮤직, 염따",Dreamus,2019.11.17~2019.11.23,남성,솔로
5000,아이유 (IU),Blueming,55037317,카카오 M,카카오 M,2019.11.24~2019.11.30,여성,솔로
5001,노을,늦은 밤 너의 집 앞 골목길에서,44046549,씨제스엔터테인먼트,카카오 M,2019.11.24~2019.11.30,남성,그룹
5002,아이유 (IU),Love poem,42214649,카카오 M,카카오 M,2019.11.24~2019.11.30,여성,솔로
5003,마마무 (Mamamoo),HIP,37289867,RBW,카카오 M,2019.11.24~2019.11.30,여성,그룹
5004,"Idina Menzel, AURORA",Into the Unknown,37065320,Walt Disney Records,Universal Music,2019.11.24~2019.11.30,여성,프로젝트
5005,바이브 (Vibe),이 번호로 전화해줘,31534009,메이저나인,지니뮤직,2019.11.24~2019.11.30,남성,그룹
5006,악동뮤지션 (AKMU),"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",31465953,YG Entertainment,YG PLUS,2019.11.24~2019.11.30,혼성,듀엣
5007,아이유 (IU),시간의 바깥,28039921,카카오 M,카카오 M,2019.11.24~2019.11.30,여성,솔로
5008,장범준,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,27541875,"Stone Music Entertainment, 삼화네트웍스","지니뮤직, Stone Music Entertainment",2019.11.24~2019.11.30,남성,솔로
5009,송하예,새 사랑,24659027,더하기미디어,카카오 M,2019.11.24~2019.11.30,여성,솔로
5010,임재현,조금 취했어 (Prod. 2soo),23862343,"엔에스씨컴퍼니, 디원미디어",카카오 M,2019.11.24~2019.11.30,남성,솔로
5011,MC몽,"인기 (Feat. 송가인, 챈슬러)",23799346,밀리언마켓,Dreamus,2019.11.24~2019.11.30,남성,솔로
5012,EXO,Obsession,23351448,SM Entertainment,Dreamus,2019.11.24~2019.11.30,남성,그룹
5013,"Idina Menzel, Evan Rachel Wood",Show Yourself,22397037,Walt Disney Records,Universal Music,2019.11.24~2019.11.30,여성,프로젝트
5014,아이유 (IU),unlucky,22377245,카카오 M,카카오 M,2019.11.24~2019.11.30,여성,솔로
5015,전상근,사랑이란 멜로는 없어,22248335,스튜디오 오드리,카카오 M,2019.11.24~2019.11.30,남성,솔로
5016,태연 (TAEYEON),불티 (Spark),21752685,SM Entertainment,Dreamus,2019.11.24~2019.11.30,여성,솔로
5017,폴킴,안녕,20282294,냠냠엔터테인먼트,카카오 M,2019.11.24~2019.11.30,남성,솔로
5018,장덕철,있어줘요,20075126,리메즈,카카오 M,2019.11.24~2019.11.30,남성,그룹
5019,마크툽 (Maktub),오늘도 빛나는 너에게 (To You My Light) (Feat.이라...,20066264,MAKTUB Company,Warner Music,2019.11.24~2019.11.30,남성,솔로
5020,HYNN(박혜원),시든 꽃에 물을 주듯,18849818,엔터테인먼트뉴오더,카카오 M,2019.11.24~2019.11.30,여성,솔로
5021,아이유 (IU),그 사람,18060616,카카오 M,카카오 M,2019.11.24~2019.11.30,여성,솔로
5022,송하예,니 소식,17681764,더하기미디어,카카오 M,2019.11.24~2019.11.30,여성,솔로
5023,황인욱,포장마차,17201753,How엔터테인먼트,NHN벅스,2019.11.24~2019.11.30,남성,솔로
5024,아이유 (IU),자장가,16458998,카카오 M,카카오 M,2019.11.24~2019.11.30,여성,솔로
5025,Anne-Marie,2002,16387784,Atlantic Records UK,Warner Music,2019.11.24~2019.11.30,여성,솔로
5026,볼빨간사춘기,워커홀릭,15872341,쇼파르뮤직,카카오 M,2019.11.24~2019.11.30,여성,솔로
5027,태연 (TAEYEON),숨겨진 세상 (Into the Unknown End Credit Ve...,15845887,Walt Disney Records,Universal Music,2019.11.24~2019.11.30,여성,솔로
5028,황인욱,이별주,15490659,How엔터테인먼트,NHN벅스,2019.11.24~2019.11.30,남성,솔로
5029,HYNN(박혜원),차가워진 이 바람엔 우리가 써있어(Bad Love),14785404,엔터테인먼트뉴오더,카카오 M,2019.11.24~2019.11.30,여성,솔로
5030,임재현,사랑에 연습이 있었다면 (Prod. 2soo),14672595,"엔에스씨컴퍼니, 디원미디어",카카오 M,2019.11.24~2019.11.30,남성,솔로
5031,거미,기억해줘요 내 모든 날과 그때를,14482591,냠냠엔터테인먼트,카카오 M,2019.11.24~2019.11.30,여성,솔로
5032,(여자)아이들,LION,14463761,Stone Music Entertainment,지니뮤직,2019.11.24~2019.11.30,여성,그룹
5033,폴킴,"모든 날, 모든 순간 (Every day, Every Moment)",14422221,SM Entertainment,Dreamus,2019.11.24~2019.11.30,남성,솔로
5034,MC몽,샤넬 (Feat. 박봄),13770473,밀리언마켓,Dreamus,2019.11.24~2019.11.30,남성,솔로
5035,먼데이 키즈 (Monday Kiz),사랑이 식었다고 말해도 돼,13762794,먼데이키즈 컴퍼니,카카오 M,2019.11.24~2019.11.30,남성,솔로
5036,케이시 (Kassy),가을밤 떠난 너,13665837,넥스타엔터테인먼트,카카오 M,2019.11.24~2019.11.30,여성,솔로
5037,"Shawn Mendes, Camila Cabello",Senorita,13643204,"Island Records, a division of UMG Recordings, Inc.",Universal Music,2019.11.24~2019.11.30,혼성,프로젝트
5038,폴킴,허전해,13442201,뉴런뮤직,카카오 M,2019.11.24~2019.11.30,남성,솔로
5039,"장혜진, 윤민수",술이 문제야,13189987,젤리피쉬 엔터테인먼트,"지니뮤직, Stone Music Entertainment",2019.11.24~2019.11.30,혼성,프로젝트
5040,Billie Eilish,bad guy,13167133,"Darkroom, Interscope Records",Universal Music,2019.11.24~2019.11.30,여성,솔로
5041,방탄소년단,작은 것들을 위한 시 (Boy With Luv) (Feat. Hals...,12987900,빅히트 엔터테인먼트,Dreamus,2019.11.24~2019.11.30,남성,그룹
5042,V.O.S,다시 만날까 봐,12532162,J-SOUL COMPANY,카카오 M,2019.11.24~2019.11.30,남성,그룹
5043,태연 (TAEYEON),그대라는 시,12335181,냠냠엔터테인먼트,카카오 M,2019.11.24~2019.11.30,여성,솔로
5044,폴킴,너를 만나,12295797,뉴런뮤직,카카오 M,2019.11.24~2019.11.30,남성,솔로
5045,TWICE,Feel Special,11770438,JYP Entertainment,Dreamus,2019.11.24~2019.11.30,여성,그룹
5046,휘인,헤어지자 (Prod. 정키),11541733,RBW,카카오 M,2019.11.24~2019.11.30,여성,솔로
5047,태연 (TAEYEON),사계 (Four Seasons),11447421,SM Entertainment,Dreamus,2019.11.24~2019.11.30,여성,솔로
5048,펀치 (Punch),영화 속에 나오는 주인공처럼,11193310,"팬엔터테인먼트, 모스트콘텐츠",NHN벅스,2019.11.24~2019.11.30,여성,솔로
5049,"창모, Hash Swan, ASH ISLAND, 김효은",BAND,11048280,앰비션뮤직,"지니뮤직, Stone Music Entertainment",2019.11.24~2019.11.30,남성,프로젝트
5050,AOA,날 보러 와요 (Come See Me),10904393,FNC엔터테인먼트,카카오 M,2019.11.24~2019.11.30,여성,그룹
5051,헤이즈 (Heize),떨어지는 낙엽까지도,10876243,"Stone Music Entertainment, Studio blu",지니뮤직,2019.11.24~2019.11.30,여성,솔로
5052,Lauv,Paris In The Rain,10655584,뮤직테이블,NHN벅스,2019.11.24~2019.11.30,남성,솔로
5053,자이언티(Zion.T),5월의 밤,10469853,The Black Label,YG PLUS,2019.11.24~2019.11.30,남성,솔로
5054,벤 (Ben),헤어져줘서 고마워,10249647,메이저나인,지니뮤직,2019.11.24~2019.11.30,여성,솔로
5055,Naomi Scott,Speechless (Full),10083761,"Disney Enterprises,Inc.",Universal Music,2019.11.24~2019.11.30,여성,솔로
5056,케이시 (Kassy),그때가 좋았어,9879065,넥스타엔터테인먼트,카카오 M,2019.11.24~2019.11.30,여성,솔로
5057,닐로 (Nilo),벗,9739248,리메즈,Universal Music,2019.11.24~2019.11.30,남성,솔로
5058,"Kristen Bell, Idina Menzel, Josh Gad, Jonathan Groff, Cast of Frozen 2Frozen 2 (겨울왕국 2 OST)",Some Things Never Change,9717081,Walt Disney Records,Universal Music,2019.11.24~2019.11.30,혼성,프로젝트
5059,10cm,나의 어깨에 기대어요,9668483,냠냠엔터테인먼트,카카오 M,2019.11.24~2019.11.30,남성,솔로
5060,첸 (CHEN),우리 어떻게 할까요,9661067,SM Entertainment,Dreamus,2019.11.24~2019.11.30,남성,솔로
5061,김나영,솔직하게 말해서 나,9513803,네버랜드엔터테인먼트,카카오 M,2019.11.24~2019.11.30,여성,솔로
5062,다비치,너에게 못했던 내 마지막 말은,9332925,Stone Music Entertainment,지니뮤직,2019.11.24~2019.11.30,여성,듀엣
5063,에이치코드 (H:CODE),꿈속에 너 (Feat. 전상근),9264607,H PERFORMANCE,퍼플파인 엔터테인먼트,2019.11.24~2019.11.30,남성,그룹
5064,허각,이별은 늘 그렇게 (Duet. 정은지),9216676,플레이엠엔터테인먼트,카카오 M,2019.11.24~2019.11.30,남성,솔로
5065,장범준,노래방에서,9151691,버스커버스커,카카오 M,2019.11.24~2019.11.30,남성,솔로
5066,지코 (ZICO),"천둥벌거숭이 (Feat. Jvcki Wai, 염따)",8878670,KOZ 엔터테인먼트,카카오 M,2019.11.24~2019.11.30,남성,솔로
5067,MC몽,내 생애 가장 행복한 시간 Part.2 (Feat. 양다일),8760164,밀리언마켓,Dreamus,2019.11.24~2019.11.30,남성,솔로
5068,현아 (HyunA),FLOWER SHOWER,8682062,피네이션,카카오 M,2019.11.24~2019.11.30,여성,솔로
5069,잔나비,주저하는 연인들을 위해,8670923,페포니 뮤직,카카오 M,2019.11.24~2019.11.30,남성,밴드
5070,강다니엘,TOUCHIN`,8669357,KONNECT ENTERTAINMENT,Sony Music,2019.11.24~2019.11.30,남성,솔로
5071,Evan Rachel Wood,All Is Found,8457660,Walt Disney Records,Universal Music,2019.11.24~2019.11.30,여성,솔로
5072,이우,이별행동,8320002,케이에이치컴퍼니,카카오 M,2019.11.24~2019.11.30,남성,솔로
5073,헤이즈 (Heize),운명이 내게 말해요,8255975,"팬엔터테인먼트, 모스트콘텐츠",NHN벅스,2019.11.24~2019.11.30,여성,솔로
5074,펀치 (Punch),가끔 이러다,8181396,냠냠엔터테인먼트,카카오 M,2019.11.24~2019.11.30,여성,솔로
5075,펀치 (Punch),Done For Me,7815865,냠냠엔터테인먼트,카카오 M,2019.11.24~2019.11.30,여성,솔로
5076,Mariah Carey,All I Want For Christmas Is You,7792954,Columbia/Legacy,Sony Music,2019.11.24~2019.11.30,여성,솔로
5077,벤 (Ben),내 목소리 들리니,7792479,냠냠엔터테인먼트,카카오 M,2019.11.24~2019.11.30,여성,솔로
5078,Imagine Dragons,Believer,7665361,"KIDinaKORNER, Interscope Records",Universal Music,2019.11.24~2019.11.30,남성,그룹
5079,다이나믹 듀오 (Dynamic Duo),맵고짜고단거 (Feat. 페노메코),7663637,아메바컬쳐,"지니뮤직, Stone Music Entertainment",2019.11.24~2019.11.30,남성,그룹
5080,이우,내 안부,7585360,소리바다,소리바다,2019.11.24~2019.11.30,남성,솔로
5081,폴킴,비,7563952,뉴런뮤직,카카오 M,2019.11.24~2019.11.30,남성,솔로
5082,첸 (CHEN),사월이 지나면 우리 헤어져요 (Beautiful goodbye),7362315,SM Entertainment,Dreamus,2019.11.24~2019.11.30,남성,솔로
5083,Kristen Bell,The Next Right Thing,7323745,Walt Disney Records,Universal Music,2019.11.24~2019.11.30,여성,솔로
5084,EXO,Trouble,7310234,SM Entertainment,Dreamus,2019.11.24~2019.11.30,남성,그룹
5085,방탄소년단,봄날,7272813,빅히트 엔터테인먼트,Dreamus,2019.11.24~2019.11.30,남성,그룹
5086,TWICE,FANCY,7223470,JYP Entertainment,Dreamus,2019.11.24~2019.11.30,여성,그룹
5087,헤이즈 (Heize),내 맘을 볼 수 있나요,7062152,냠냠엔터테인먼트,카카오 M,2019.11.24~2019.11.30,여성,솔로
5088,ITZY (있지),ICY,7022979,JYP Entertainment,Dreamus,2019.11.24~2019.11.30,여성,그룹
5089,송이한,안녕이라는 말,6967363,뮤직디자인,카카오 M,2019.11.24~2019.11.30,남성,솔로
5090,보라미유,끝난 사이,6829019,"쇼파르뮤직, 이들미디어",카카오 M,2019.11.24~2019.11.30,여성,솔로
5091,지코 (ZICO),사람,6825764,KOZ 엔터테인먼트,카카오 M,2019.11.24~2019.11.30,남성,솔로
5092,멜로망스(MeloMance),인사,6647139,"민트페이퍼, 광합성",카카오 M,2019.11.24~2019.11.30,남성,듀엣
5093,Jonathan Groff,Lost in the Woods,6585617,Walt Disney Records,Universal Music,2019.11.24~2019.11.30,남성,솔로
5094,EXO,춤 (Groove),6498262,SM Entertainment,Dreamus,2019.11.24~2019.11.30,남성,그룹
5095,EXO,지킬 (Jekyll),6463114,SM Entertainment,Dreamus,2019.11.24~2019.11.30,남성,그룹
5096,아이유 (IU),밤편지,6232904,"페이브엔터테인먼트,카카오 M",카카오 M,2019.11.24~2019.11.30,여성,솔로
5097,EXO,나비효과 (Butterfly Effect),6216441,SM Entertainment,Dreamus,2019.11.24~2019.11.30,남성,그룹
5098,방탄소년단,IDOL,6205617,빅히트 엔터테인먼트,Dreamus,2019.11.24~2019.11.30,남성,그룹
5099,엠씨더맥스 (M.C The Max),사계 (하루살이),6197222,325 이엔씨,카카오 M,2019.11.24~2019.11.30,남성,밴드
5100,Ariana Grande,Santa Tell Me,6147830,"Republic Records, a division of UMG Recordings,Inc",Universal Music,2019.11.24~2019.11.30,여성,솔로
5101,Selena Gomez,Lose You To Love Me,6110752,Interscope Records,Universal Music,2019.11.24~2019.11.30,여성,솔로
5102,기리보이(Giriboy),을 (Feat. BIG Naughty (서동현)),6014984,린치핀뮤직,카카오 M,2019.11.24~2019.11.30,남성,솔로
5103,EXO,Ya Ya Ya,5997083,SM Entertainment,Dreamus,2019.11.24~2019.11.30,남성,그룹
5104,폴킴,마음,5977094,뉴런뮤직,카카오 M,2019.11.24~2019.11.30,남성,솔로
5105,EXO,Baby You Are,5921069,SM Entertainment,Dreamus,2019.11.24~2019.11.30,남성,그룹
5106,"볼빨간사춘기, WH3N (웬)",New York,5917216,쇼파르뮤직,카카오 M,2019.11.24~2019.11.30,혼성,프로젝트
5107,청하,Snapping,5896922,MNH Entertainment,"지니뮤직, Stone Music Entertainment",2019.11.24~2019.11.30,여성,솔로
5108,EXO,오늘도 (Day After Day),5860934,SM Entertainment,Dreamus,2019.11.24~2019.11.30,남성,그룹
5109,신예영,우리 왜 헤어져야 해,5807388,스튜디오 오드리,카카오 M,2019.11.24~2019.11.30,여성,솔로
5110,EXO,Non Stop,5790201,SM Entertainment,Dreamus,2019.11.24~2019.11.30,남성,그룹
5111,태연 (TAEYEON),Gravity,5754853,SM Entertainment,Dreamus,2019.11.24~2019.11.30,여성,솔로
5112,기리보이(Giriboy),호랑이소굴 (Feat. Jvcki Wai),5709161,린치핀뮤직,카카오 M,2019.11.24~2019.11.30,남성,솔로
5113,Sia,Snowman,5605553,"Monkey Puzzle, Atlantic",Warner Music,2019.11.24~2019.11.30,여성,솔로
5114,멜로망스(MeloMance),축제,5547269,"민트페이퍼, 광합성",카카오 M,2019.11.24~2019.11.30,남성,듀엣
5115,선미,날라리 (LALALAY),5371943,메이크어스엔터테인먼트,카카오 M,2019.11.24~2019.11.30,여성,솔로
5116,지코 (ZICO),남겨짐에 대해 (Feat. 다운),5272672,KOZ 엔터테인먼트,카카오 M,2019.11.24~2019.11.30,남성,솔로
5117,디오 (D.O.),괜찮아도 괜찮아 (That`s okay),5161174,SM Entertainment,Dreamus,2019.11.24~2019.11.30,남성,솔로
5118,"염따, 딥플로우, 팔로알토 (Paloalto), The Quiett, 사이먼 도미닉Dingo X DAMOIM (Part 1)",Forever 84,5099336,"AOMG, 딩고뮤직, Hi-Lite Records, ILLIONAIRE RECORDS, VMC, YUMDDA",Dreamus,2019.11.24~2019.11.30,남성,프로젝트
5119,박경,자격지심 (Feat. 은하 of 여자친구),5038940,세븐시즌스,"지니뮤직, Stone Music Entertainment",2019.11.24~2019.11.30,남성,솔로
5120,ITZY (있지),달라달라,4999683,JYP Entertainment,Dreamus,2019.11.24~2019.11.30,여성,그룹
5121,첸 (CHEN),널 안지 않을 수 있어야지,4931550,SM Entertainment,Dreamus,2019.11.24~2019.11.30,남성,솔로
5122,Panic! At The Disco,Into the Unknown (Panic! At The Disco ...,4766852,Walt Disney Records,Universal Music,2019.11.24~2019.11.30,남성,밴드
